Date,AC power(kW),AC Voltage(V),AC Current(I),DC power(kW),DC Voltage(V),DC Current(I)
2015-10-01 7:00,0.1,218.3,0.7,0.1,481.3,0.4
2015-10-01 8:00,0.5,216.2,2.6,0.5,536.2,1.1
2015-10-01 9:00,1.1,216.7,5.2,1.1,546.8,2
2015-10-01 10:00,0.5,216.5,2.7,0.6,527.6,1.1
2015-10-01 11:00,0.7,216.5,3.6,0.8,541.3,1.4
2015-10-01 12:00,1.1,217.7,5.1,1.1,549.1,2
2015-10-01 13:00,0.8,214.9,3.7,0.8,531.6,1.6
2015-10-01 14:00,0.8,215.7,4,0.9,535.5,1.6
2015-10-01 15:00,0.8,216.7,4,0.9,539.7,1.6
2015-10-01 16:00,0.5,217.3,2.3,0.5,508.3,1
2015-10-01 17:00,0,218.1,0.2,0,528.8,0.1
2015-10-01 18:00,0,218.1,0.2,0,528.8,0.1
2015-10-01 19:00,0,218.1,0.2,0,528.8,0.1
2015-10-01 20:00,0,218.1,0.2,0,528.8,0.1
2015-10-01 21:00,0,218.1,0.2,0,528.8,0.1
2015-10-01 22:00,0,218.1,0.2,0,528.8,0.1
2015-10-01 23:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 0:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 1:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 2:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 3:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 4:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 5:00,0,218.1,0.2,0,528.8,0.1
2015-10-02 6:00,0.6,215.9,2.8,0.6,573.6,1.1
2015-10-02 7:00,3.3,218.3,15.2,3.4,611.8,5.6
2015-10-02 8:00,7.9,218.9,36.2,8.1,587.7,13.9
2015-10-02 9:00,12.1,219.8,55.1,12.4,555.3,22.4
2015-10-02 10:00,15,219.9,68.5,15.4,541.8,28.6
2015-10-02 11:00,16.5,221.5,74.6,16.9,527.5,32.3
2015-10-02 12:00,16.7,222.6,75.1,17.1,514.7,33.4
2015-10-02 13:00,16,222.4,72.2,16.5,521.9,31.6
2015-10-02 14:00,14.2,221.3,64.5,14.6,532.3,27.4
2015-10-02 15:00,11,220.6,50,11.3,540.5,20.9
2015-10-02 16:00,6.7,219.5,30.7,6.9,552.8,12.5
2015-10-02 17:00,1.8,218.8,8.2,1.8,514.7,3.5
2015-10-02 18:00,0,217.4,0.1,0,472.4,0.1
2015-10-02 19:00,0,217.4,0.1,0,472.4,0.1
2015-10-02 20:00,0,217.4,0.1,0,472.4,0.1
2015-10-02 21:00,0,217.4,0.1,0,472.4,0.1
2015-10-02 22:00,0,217.4,0.1,0,472.4,0.1
2015-10-02 23:00,0,217.4,0.1,0,472.4,0.1
2015-10-03 0:00,0,217.4,0.1,0,472.4,0.1
2015-10-03 1:00,0,217.4,0.1,0,472.4,0.1
2015-10-03 2:00,0,217.4,0.1,0,472.4,0.1
2015-10-03 3:00,0,217.4,0.1,0,472.4,0.1
